game_id,reporter_id,player1_id,player2_id,player3_id,player4_id,points,score1,score2,serving_team,created_at,notes,circuit_id
84,1,15,29,19,16,21,,,,2019-10-08 00:00:00,,5
85,1,1,21,6,30,21,,,,2019-10-08 00:00:00,,5
86,1,1,7,6,30,21,,,,2019-10-08 00:00:00,,5
87,1,1,7,6,30,21,,,,2019-10-08 00:00:00,,5
88,1,6,30,1,7,21,,,,2019-10-08 00:00:00,,5
89,2,1,2,18,21,21,,,,2019-10-09 15:59:33.072056,,5
90,2,1,2,18,21,21,,,,2019-10-09 15:59:33.554271,,5
91,2,1,2,18,21,21,,,,2019-10-09 15:59:33.687534,,5
92,2,21,1,7,18,21,,,,2019-10-09 19:01:08.335778,,5
93,2,7,18,21,1,21,,,,2019-10-09 19:01:09.289899,,5
94,2,7,18,21,1,21,,,,2019-10-09 19:01:09.663057,,5
95,2,18,1,7,21,21,,,,2019-10-09 19:01:56.251213,,5
96,2,7,21,18,1,21,,,,2019-10-09 19:01:56.497054,,5
97,2,7,21,18,1,21,,,,2019-10-09 19:01:56.704905,,5
98,2,1,21,18,2,21,,,,2019-10-09 19:02:35.394702,,5
99,2,18,2,1,21,21,,,,2019-10-09 19:02:35.578607,,5
100,2,1,2,18,21,21,,,,2019-10-09 19:03:14.953024,,5
101,2,18,21,1,2,21,,,,2019-10-09 19:03:15.138984,,5
102,2,1,2,18,21,21,,,,2019-10-09 19:03:15.326061,,5
103,2,7,19,1,6,21,,,,2019-10-09 20:10:49.751913,,5
104,2,7,19,1,6,21,,,,2019-10-09 20:10:50.041574,,5
105,2,1,6,7,19,21,,,,2019-10-09 20:10:50.20969,,5
106,2,1,6,7,19,21,,,,2019-10-09 20:10:50.606489,,5
107,2,7,19,1,6,21,,,,2019-10-09 20:10:50.766421,,5
108,2,1,2,6,21,21,,,,2019-10-09 20:35:26.53049,,5
109,2,1,2,8,19,21,,,,2019-10-10 16:07:43.755881,,5
110,2,1,2,8,19,21,,,,2019-10-10 16:07:44.561684,,5
111,2,1,2,8,19,21,,,,2019-10-10 16:07:44.708977,,5
112,2,1,14,2,21,21,,,,2019-10-10 19:12:30.88893,,5
113,2,1,14,2,21,21,,,,2019-10-10 19:12:31.248738,,5
114,2,1,14,2,21,21,,,,2019-10-10 19:12:31.383139,,5
115,2,2,1,3,24,21,,,,2019-10-10 21:02:55.118534,yuhai's first doubles game,5
116,2,2,24,1,30,21,,,,2019-10-10 21:04:13.964418,,5
117,2,1,30,2,24,21,,,,2019-10-10 21:04:14.108717,,5
118,2,2,24,1,30,21,,,,2019-10-10 21:04:14.257173,,5
119,2,2,24,1,30,21,,,,2019-10-10 21:04:14.406442,,5
120,2,1,30,2,24,21,,,,2019-10-10 21:04:14.558013,,5
121,2,2,24,1,30,21,,,,2019-10-10 21:04:14.702817,,5
122,2,6,16,18,32,21,,,,2019-10-10 21:11:01.122524,,5
123,2,6,16,18,32,21,,,,2019-10-10 21:11:01.300458,,5
124,2,18,32,6,16,21,,,,2019-10-10 21:11:01.463293,,5
125,2,21,2,18,7,21,,,,2019-10-11 16:37:06.472539,,5
126,2,18,7,21,2,21,,,,2019-10-11 16:37:06.669518,,5
127,2,21,2,18,7,21,,,,2019-10-11 16:37:06.839234,,5
128,2,6,14,1,30,21,,,,2019-10-11 16:39:17.092586,,5
