circuit_id,name,tag,created_at,max_rating,format,type,class
1,DRaaS & RouteSim,RC3-Draas-Sim,Summer 2019,,ROUND_ROBIN,SINGLES,TOURNAMENT
2,Raspberry Berets,RC3-Doubles-U1200,Fall 2019,1200,SINGLE_ELIMINATION,DOUBLES,TOURNAMENT
3,Red Riders,RC3-Doubles-U1400,Fall 2019,1400,SINGLE_ELIMINATION,DOUBLES,TOURNAMENT
4,Blind Assassins,RC3-Doubles,Fall 2019,,ROUND_ROBIN,DOUBLES,TOURNAMENT
5,Preseason,RC3-Preseason,Fall 2019,,FREE_STYLE,MIXED,PRESEASON
6,Regular Season,RC3-Season,Fall 2019,,ROUND_ROBIN,SINGLES,SEASON
7,Winners' Playoff,RC3-Winners,Fall 2019,,DOUBLE_ELIMINATION,SINGLES,PLAYOFF
8,Losers' Playoff,RC3-Winners,Fall-2019,,SINGLE_ELIMINATION,SINGLES,PLAYOFF
