game_id,reporter_id,player1_id,player2_id,points,score1,score2,created_at,notes,tournament_id
101,1,2,24,21,,,2019-10-04 00:00:00,,1
102,1,6,24,21,,,2019-10-04 00:00:00,,1
103,1,6,24,21,,,2019-10-04 00:00:00,,1
104,1,7,1,21,,,2019-10-04 00:00:00,,
105,1,7,1,21,,,2019-10-04 00:00:00,,
106,1,7,1,21,,,2019-10-04 00:00:00,,
107,1,2,11,21,,,2019-10-07 00:00:00,,1
108,1,2,11,21,,,2019-10-07 00:00:00,,1
109,1,1,11,21,,,2019-10-07 00:00:00,,1
110,1,1,11,21,,,2019-10-07 00:00:00,,1
111,1,6,11,21,,,2019-10-07 00:00:00,,1
112,1,6,11,21,,,2019-10-07 00:00:00,,1
113,1,19,14,21,,,2019-10-07 00:00:00,,
114,1,14,19,21,,,2019-10-07 00:00:00,,
115,1,1,7,21,,,2019-10-08 00:00:00,,
116,2,1,18,21,,,2019-10-09 16:00:25.795062,,
117,2,1,18,21,,,2019-10-09 16:00:26.301098,,
118,2,1,18,21,,,2019-10-09 16:00:26.536612,,
119,2,5,19,21,,,2019-10-09 17:31:52.788162,,
120,2,5,19,21,,,2019-10-09 17:31:53.012581,,
121,2,5,19,21,,,2019-10-09 17:31:53.158107,,
122,2,5,19,21,,,2019-10-09 17:31:53.294318,,
123,2,19,5,21,,,2019-10-09 17:31:53.427857,,
124,2,8,19,21,,,2019-10-09 18:59:11.301858,,
125,2,8,19,21,,,2019-10-09 18:59:11.81806,,
126,2,8,19,21,,,2019-10-09 18:59:11.957477,,
127,2,7,1,21,,,2019-10-09 18:59:43.294003,,
128,2,7,1,21,,,2019-10-09 18:59:43.451617,,
129,2,5,2,21,,,2019-10-09 20:36:03.245222,,
130,2,5,2,21,,,2019-10-09 20:36:03.465492,,
131,2,2,5,21,,,2019-10-09 20:36:03.710568,,
132,2,5,2,21,,,2019-10-09 20:36:03.890583,,
133,2,30,14,21,,,2019-10-10 14:54:27.899171,,
134,2,14,30,21,,,2019-10-10 14:54:28.442421,,
135,2,14,30,21,,,2019-10-10 14:54:28.599473,,
136,2,6,18,21,,,2019-10-10 19:13:08.486409,,
137,2,6,18,21,,,2019-10-10 19:13:08.743644,,
138,2,18,6,21,,,2019-10-10 19:13:08.884853,,
139,2,1,30,11,11,,2019-10-10 21:04:43.073419,,
140,2,1,30,11,11,,2019-10-10 21:04:43.263355,,
141,2,6,1,21,,,2019-10-11 16:31:47.879422,,
142,2,6,1,21,,,2019-10-11 16:31:48.857474,,
143,2,1,6,21,,,2019-10-11 16:31:49.045577,,
144,2,1,18,21,,,2019-10-11 17:45:31.9836,,
145,2,1,18,21,,,2019-10-11 17:45:32.668416,,
146,2,18,26,21,,,2019-10-11 18:34:50.668567,,1
147,2,18,26,21,,,2019-10-11 18:34:51.134265,,1
148,2,2,21,21,,,2019-10-11 18:45:06.039435,,
149,2,2,21,21,,,2019-10-11 18:45:06.218422,,
150,2,2,21,21,,,2019-10-11 18:45:06.366772,,
151,2,3,9,21,,,2019-10-11 18:53:21.156453,,
152,2,3,2,21,,,2019-10-11 21:17:15.703397,,
153,2,3,2,21,,,2019-10-11 21:17:15.895911,,
154,2,3,2,21,,,2019-10-11 21:17:16.028128,,
155,2,5,7,21,,,2019-10-11 21:33:35.427161,,
156,2,5,7,21,,,2019-10-11 21:33:35.615456,,
157,2,7,5,21,,,2019-10-11 21:33:35.778444,,
158,2,7,1,21,,,2019-10-11 21:41:13.005342,,
159,2,18,34,21,,,2019-10-11 23:02:33.180636,,
160,2,18,34,21,,,2019-10-11 23:02:33.356525,,
161,2,30,29,21,,,2019-10-11 23:03:42.051136,,
162,2,30,29,21,,,2019-10-11 23:03:42.188738,,
163,2,30,29,21,,,2019-10-11 23:03:42.326394,,
164,2,30,14,21,,,2019-10-11 23:03:42.466255,,
165,2,30,14,21,,,2019-10-11 23:03:42.466255,,
166,2,30,14,21,,,2019-10-11 23:03:42.466255,,
167,2,22,30,21,,,2019-10-11 23:03:42.466255,,
168,2,22,30,21,,,2019-10-11 23:03:42.466255,,
169,2,30,22,21,,,2019-10-11 23:03:42.466255,,
170,2,30,12,21,,,2019-10-11 23:03:42.466255,,
171,2,1,6,21,,,2019-10-14 21:27:06.202351,,
172,2,1,6,21,,,2019-10-14 21:27:06.887282,,
