id,circuit_id,reporter_id,player1_id,player2_id,player3_id,player4_id,player5_id,player6_id,created_at,points_to_win,final_tally,notes
1,5,1,1,23,,,,,2019-09-16 00:00:00,21,,
2,5,1,1,23,,,,,2019-09-16 00:00:00,21,,
3,5,1,23,1,,,,,2019-09-16 00:00:00,21,,
4,1,1,3,11,,,,,2019-09-23 00:00:00,21,,
5,1,1,3,11,,,,,2019-09-23 00:00:00,21,,
6,1,1,4,6,,,,,2019-09-23 00:00:00,21,,
7,1,1,4,6,,,,,2019-09-23 00:00:00,21,,
8,1,1,4,2,,,,,2019-09-23 00:00:00,21,,
9,1,1,4,2,,,,,2019-09-23 00:00:00,21,,
10,1,1,4,1,,,,,2019-09-23 00:00:00,21,,
11,1,1,4,1,,,,,2019-09-23 00:00:00,21,,
12,1,1,25,1,,,,,2019-09-24 00:00:00,21,,
13,1,1,25,1,,,,,2019-09-24 00:00:00,21,,
14,1,1,2,21,,,,,2019-09-24 00:00:00,21,,
15,1,1,2,21,,,,,2019-09-24 00:00:00,21,,
16,5,1,21,2,,,,,2019-09-24 00:00:00,21,,
17,1,1,2,1,,,,,2019-09-24 00:00:00,21,,
18,1,1,2,1,,,,,2019-09-24 00:00:00,21,,
19,5,1,2,1,,,,,2019-09-24 00:00:00,21,,
20,5,1,1,2,,,,,2019-09-24 00:00:00,21,,
21,5,1,19,1,6,10,,,2019-09-25 00:00:00,21,,
22,5,1,19,1,6,10,,,2019-09-25 00:00:00,21,,
23,5,1,6,16,19,1,,,2019-09-25 00:00:00,21,,
24,5,1,25,1,14,15,,,2019-09-25 00:00:00,21,,
25,5,1,25,1,14,15,,,2019-09-25 00:00:00,21,,
26,5,1,14,15,25,1,,,2019-09-25 00:00:00,21,,
27,1,1,6,1,,,,,2019-09-25 00:00:00,21,,
28,1,1,6,1,,,,,2019-09-25 00:00:00,21,,
29,1,1,2,6,,,,,2019-09-25 00:00:00,21,,
30,1,1,2,6,,,,,2019-09-25 00:00:00,21,,
31,1,1,21,1,,,,,2019-09-25 00:00:00,21,,
32,1,1,21,1,,,,,2019-09-25 00:00:00,21,,
33,5,1,21,1,6,18,,,2019-09-26 00:00:00,21,,
34,5,1,21,1,6,18,,,2019-09-26 00:00:00,21,,
35,5,1,21,1,6,18,,,2019-09-26 00:00:00,21,,
36,5,1,21,1,18,25,,,2019-09-26 00:00:00,21,,
37,5,1,21,1,18,25,,,2019-09-26 00:00:00,21,,
38,5,1,6,1,18,25,,,2019-09-26 00:00:00,21,,
39,5,1,6,1,18,25,,,2019-09-26 00:00:00,21,,
40,5,1,6,1,18,25,,,2019-09-26 00:00:00,21,,
41,5,1,14,23,26,1,,,2019-09-26 00:00:00,21,,
42,5,1,14,23,26,1,,,2019-09-26 00:00:00,21,,
43,5,1,26,1,14,23,,,2019-09-26 00:00:00,21,,
44,5,1,26,1,14,2,,,2019-09-26 00:00:00,21,,
45,5,1,4,27,2,1,,,2019-09-26 00:00:00,21,,
46,5,1,1,21,,,,,2019-09-26 00:00:00,21,,
47,5,1,1,21,,,,,2019-09-26 00:00:00,21,,
48,1,1,1,26,,,,,2019-09-26 00:00:00,21,,
49,1,1,1,26,,,,,2019-09-26 00:00:00,21,,
50,1,1,2,26,,,,,2019-09-26 00:00:00,21,,
51,1,1,2,26,,,,,2019-09-26 00:00:00,21,,
52,5,1,2,1,16,19,,,2019-09-27 00:00:00,21,,
53,5,1,2,1,16,19,,,2019-09-27 00:00:00,21,,
54,5,1,5,2,15,1,,,2019-09-27 00:00:00,21,,
55,5,1,5,2,15,1,,,2019-09-27 00:00:00,21,,
56,5,1,5,2,15,1,,,2019-09-27 00:00:00,21,,
57,5,1,5,2,15,1,,,2019-09-27 00:00:00,21,,
58,5,1,5,2,15,1,,,2019-09-27 00:00:00,21,,
59,5,1,17,25,18,1,,,2019-09-27 00:00:00,21,,
60,5,1,17,25,18,1,,,2019-09-27 00:00:00,21,,
61,5,1,18,1,28,6,,,2019-09-27 00:00:00,21,,
62,5,1,18,1,28,6,,,2019-09-27 00:00:00,21,,
63,5,1,28,6,18,1,,,2019-09-27 00:00:00,21,,
64,5,1,1,21,,,,,2019-09-27 00:00:00,21,,
65,5,1,1,21,,,,,2019-09-27 00:00:00,21,,
66,5,1,1,21,,,,,2019-09-27 00:00:00,21,,
67,5,1,5,1,,,,,2019-09-27 00:00:00,21,,
68,5,1,5,2,,,,,2019-09-27 00:00:00,21,,
69,5,1,5,2,,,,,2019-09-27 00:00:00,21,,
70,5,1,5,2,,,,,2019-09-27 00:00:00,21,,
71,1,1,6,25,,,,,2019-09-27 00:00:00,21,,
72,1,1,25,6,,,,,2019-09-27 00:00:00,21,,
73,1,1,6,25,,,,,2019-09-27 00:00:00,21,,
74,1,1,2,25,,,,,2019-09-27 00:00:00,21,,
75,1,1,2,25,,,,,2019-09-27 00:00:00,21,,
76,5,1,14,20,,,,,2019-09-27 00:00:00,21,,
77,5,1,14,20,,,,,2019-09-27 00:00:00,21,,
78,5,1,20,14,,,,,2019-09-27 00:00:00,21,,
79,5,1,6,21,18,1,,,2019-10-01 00:00:00,21,,
80,5,1,6,21,18,1,,,2019-10-01 00:00:00,21,,
81,5,1,21,1,6,18,,,2019-10-01 00:00:00,21,,
82,5,1,21,1,6,18,,,2019-10-01 00:00:00,21,,
83,5,1,6,18,21,1,,,2019-10-01 00:00:00,21,,
84,5,1,6,1,18,21,,,2019-10-01 00:00:00,21,,
85,5,1,6,1,18,2,,,2019-10-01 00:00:00,21,,
86,5,1,2,1,18,7,,,2019-10-01 00:00:00,21,,
87,5,1,2,1,14,12,,,2019-10-01 00:00:00,21,,
88,5,1,2,1,14,12,,,2019-10-01 00:00:00,21,,
89,5,1,2,1,14,12,,,2019-10-01 00:00:00,21,,
90,5,1,2,1,14,12,,,2019-10-01 00:00:00,21,,
91,5,1,14,12,2,1,,,2019-10-01 00:00:00,21,,
92,5,1,7,1,,,,,2019-10-01 00:00:00,21,,
93,5,1,7,1,,,,,2019-10-01 00:00:00,21,,
94,5,1,7,1,,,,,2019-10-01 00:00:00,21,,
95,5,1,2,1,,,,,2019-10-01 00:00:00,21,,
96,5,1,2,1,,,,,2019-10-01 00:00:00,21,,
97,5,1,6,21,18,2,,,2019-10-02 00:00:00,21,,
98,5,1,6,21,18,2,,,2019-10-02 00:00:00,21,,
99,5,1,18,2,6,21,,,2019-10-02 00:00:00,21,,
100,5,1,2,21,6,18,,,2019-10-02 00:00:00,21,,
101,5,1,2,21,6,18,,,2019-10-02 00:00:00,21,,
102,5,1,6,18,30,1,,,2019-10-02 00:00:00,21,,
103,5,1,15,19,18,1,,,2019-10-02 00:00:00,21,,
104,5,1,15,19,18,1,,,2019-10-02 00:00:00,21,,
105,5,1,18,1,15,19,,,2019-10-02 00:00:00,21,,
106,5,1,14,1,15,16,,,2019-10-02 00:00:00,21,,
107,5,1,14,1,15,16,,,2019-10-02 00:00:00,21,,
108,5,1,29,1,14,16,,,2019-10-02 00:00:00,21,,
109,5,1,29,1,14,16,,,2019-10-02 00:00:00,21,,
110,5,1,14,16,29,1,,,2019-10-02 00:00:00,21,,
111,1,1,3,24,,,,,2019-10-02 00:00:00,21,,
112,1,1,3,24,,,,,2019-10-02 00:00:00,21,,
113,1,1,11,24,,,,,2019-10-02 00:00:00,21,,
114,1,1,11,24,,,,,2019-10-02 00:00:00,21,,
115,5,1,1,30,,,,,2019-10-02 00:00:00,21,,
116,5,1,1,30,,,,,2019-10-02 00:00:00,21,,
117,5,1,1,30,,,,,2019-10-02 00:00:00,21,,
118,5,1,1,30,,,,,2019-10-02 00:00:00,21,,
119,5,1,30,1,,,,,2019-10-02 00:00:00,21,,
120,5,1,5,19,,,,,2019-10-02 00:00:00,21,,
121,5,1,5,19,,,,,2019-10-02 00:00:00,21,,
122,5,1,5,19,,,,,2019-10-02 00:00:00,21,,
123,5,1,5,19,,,,,2019-10-02 00:00:00,21,,
124,5,1,19,5,,,,,2019-10-02 00:00:00,21,,
125,5,1,2,1,6,18,,,2019-10-03 00:00:00,21,,
126,5,1,6,18,2,1,,,2019-10-03 00:00:00,21,,
127,5,1,2,1,6,18,,,2019-10-03 00:00:00,21,,
128,5,1,2,1,6,18,,,2019-10-03 00:00:00,21,,
129,5,1,6,18,2,1,,,2019-10-03 00:00:00,21,,
130,5,1,2,1,6,18,,,2019-10-03 00:00:00,21,,
131,5,1,2,1,6,18,,,2019-10-03 00:00:00,21,,
132,5,1,5,6,,,,,2019-10-03 00:00:00,21,,
133,5,1,5,6,,,,,2019-10-03 00:00:00,21,,
134,5,1,5,6,,,,,2019-10-03 00:00:00,21,,
135,5,1,5,6,,,,,2019-10-03 00:00:00,21,,
136,5,1,6,5,,,,,2019-10-03 00:00:00,21,,
137,5,1,1,24,,,,,2019-10-03 00:00:00,21,,
138,5,1,1,24,,,,,2019-10-03 00:00:00,21,,
139,5,1,1,7,,,,,2019-10-03 00:00:00,21,,
140,1,1,24,21,,,,,2019-10-03 00:00:00,21,,
141,1,1,21,24,,,,,2019-10-03 00:00:00,21,,
142,1,1,24,21,,,,,2019-10-03 00:00:00,21,,
143,1,1,24,18,,,,,2019-10-03 00:00:00,21,,
144,1,1,24,18,,,,,2019-10-03 00:00:00,21,,
145,5,1,8,7,2,1,,,2019-10-04 00:00:00,21,,
146,5,1,8,7,2,1,,,2019-10-04 00:00:00,21,,
147,5,1,1,2,,,,,2019-10-04 00:00:00,21,,
148,5,1,13,17,,,,,2019-10-04 00:00:00,21,,
149,5,1,17,13,,,,,2019-10-04 00:00:00,21,,
