tournament_entrant_id,tournament_id,player_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,6
6,1,11
7,1,18
8,1,21
9,1,24
10,1,25
11,1,26
12,2,11
13,2,18
14,2,21
15,2,29
16,2,30
17,3,1
18,3,2
19,3,6
20,3,7
21,3,9
22,3,14
23,3,19
24,4,1
25,4,2
26,4,3
27,4,4
28,4,5
29,4,6
30,4,7
31,4,8
